GEO_CODE,name,GEO_TYPE,GEO_TYP2,population,Population (usual residents) : All dependent children in households - Unit : Persons,Population (usual residents) : Schoolchild or full-time student aged 4 and over at their non-term-time address - Unit : Persons,Population (usual residents) : Density (number of persons per Hectare) - Unit : Persons,Population (usual residents) : All usual residents in households - Unit : Persons,Population (usual residents) : All usual residents in communal establishments (including people enumerated as sleeping rough) - Unit : Persons,Population (usual residents) : All usual residents in communal establishments - Unit : Persons,Population (usual residents) : All households - Unit : Households,Population (usual residents) : All communal establishments - Unit : Communal establishments,Population (usual residents) : Area (Hectares) - Unit : Hectares
E08000019,Sheffield,Local Authorities,LA,552698,,5017,15.02109,539064,13634,13634,229928,,36794.79
E08000020,Gateshead,Local Authorities,LA,200214,,1332,14.06517,197726,2488,2488,89154,,14234.74
E08000021,Newcastle upon Tyne,Local Authorities,LA,280177,,2586,24.69856,271212,8965,8965,117153,,11343.86
E08000022,North Tyneside,Local Authorities,LA,200801,,1550,24.37172,199142,1659,1659,91295,,8239.1
E08000023,South Tyneside,Local Authorities,LA,148127,,867,22.99641,146729,1398,1398,67167,,6441.31
E08000024,Sunderland,Local Authorities,LA,275506,,1531,20.04238,271884,3622,3622,119758,,13746.17
E08000025,Birmingham,Local Authorities,LA,1073045,,9438,40.07066,1051366,21679,21679,410736,,26778.82
E08000026,Coventry,Local Authorities,LA,316960,,3420,32.13164,307730,9230,9230,128592,,9864.42
E08000027,Dudley,Local Authorities,LA,312925,,2635,31.94527,310398,2527,2527,129867,,9795.66
E08000028,Sandwell,Local Authorities,LA,308063,,1872,36.00242,305928,2135,2135,121498,,8556.73
E08000029,Solihull,Local Authorities,LA,206674,,3199,11.59216,205087,1587,1587,86056,,17828.78
E08000030,Walsall,Local Authorities,LA,269323,,2051,25.90768,267397,1926,1926,107822,,10395.49
E08000031,Wolverhampton,Local Authorities,LA,249470,,2056,35.92624,245526,3944,3944,102177,,6943.95
E08000032,Bradford,Local Authorities,LA,522452,,4896,14.25839,515315,7137,7137,199296,,36641.72
E08000033,Calderdale,Local Authorities,LA,203826,,2168,5.600814,202376,1450,1450,88621,,36392.21
E08000034,Kirklees,Local Authorities,LA,422458,,4014,10.33925,416840,5618,5618,173525,,40859.65
E08000035,Leeds,Local Authorities,LA,751485,,7700,13.62066,731373,20112,20112,320596,,55172.44
E08000036,Wakefield,Local Authorities,LA,325837,,2843,9.622713,322264,3573,3573,140414,,33861.24
E09000002,Barking and Dagenham,Local Authorities,LA,185911,,1654,51.51259,184901,1010,1010,69681,,3609.04
E09000003,Barnet,Local Authorities,LA,356386,,6147,41.08802,352597,3789,3789,135916,,8673.72
E09000004,Bexley,Local Authorities,LA,231997,,2577,38.30894,230902,1095,1095,92604,,6055.95
E09000005,Brent,Local Authorities,LA,311215,,3321,71.98186,308895,2320,2320,110286,,4323.52
E09000006,Bromley,Local Authorities,LA,309392,,4757,20.60491,307023,2369,2369,130862,,15015.45
E09000007,Camden,Local Authorities,LA,220338,,2530,101.091,212443,7895,7895,97534,,2179.6
E09000008,Croydon,Local Authorities,LA,363378,,4823,41.99984,360230,3148,3148,145010,,8651.89
E09000009,Ealing,Local Authorities,LA,338449,,4037,60.95435,334725,3724,3724,124082,,5552.5
E09000010,Enfield,Local Authorities,LA,312466,,3835,38.65747,310066,2400,2400,119916,,8082.94
E09000011,Greenwich,Local Authorities,LA,254557,,2542,53.76776,249991,4566,4566,101045,,4734.38
E09000012,Hackney,Local Authorities,LA,246270,,2221,129.184,244433,1837,1837,101690,,1906.35
E09000013,Hammersmith and Fulham,Local Authorities,LA,182493,,2327,111.2491,180652,1841,1841,80590,,1640.4
E09000014,Haringey,Local Authorities,LA,254926,,2774,86.15712,253236,1690,1690,101955,,2958.85
E09000015,Harrow,Local Authorities,LA,239056,,4251,47.36681,236970,2086,2086,84268,,5046.91
E09000016,Havering,Local Authorities,LA,237232,,2383,21.11291,235671,1561,1561,97199,,11236.35
E09000017,Hillingdon,Local Authorities,LA,273936,,3371,23.67667,267227,6709,6709,100214,,11569.87
E09000018,Hounslow,Local Authorities,LA,253957,,2897,45.36064,251961,1996,1996,94902,,5598.62
E09000019,Islington,Local Authorities,LA,206125,,1931,138.716,200134,5991,5991,93556,,1485.95
E09000020,Kensington and Chelsea,Local Authorities,LA,158649,,3093,130.796,155939,2710,2710,78536,,1212.95
